ku_id,ku_name,ka,core_tire1_hour,core_tire2_hour,includes_electives,topic_core_tire1,topic_core_tire2,outcome1,outcome2,KU_keyword_cat,KU_keyword,E,F
ku128,Language Pragmatics,PL,0,0,Y,Principles of language design such as orthogonality.   Evaluation order; precedence; and associativity. Eager vs. delayed evaluation.   Defining control and iteration constructs   External calls and system libraries.,,Discuss the role of concepts such as orthogonality and well-chosen defaults in language design.   Use crisp and objective criteria for evaluating language-design decisions. Give an example program whose result can differ under different rules for evaluation order; precedence; or associativity.  Show uses of delayed evaluation; such as user-defined control abstractions.   Discuss the need for allowing calls to external calls and system libraries and the consequences for language implementation.  ,,Iterator;Lazy_evaluation;Pragmatics;Associative property,Iterator;AIDS-defining_clinical_condition;Evaluation;Integrated_library_system,,
ku129,Logic Programming,PL,0,0,Y,Clausal representation of data structures and algorithms.   Unification.  Backtracking and search.  Cuts.,,Use a logic language to implement a conventional algorithm.   Use a logic language to implement an algorithm employing implicit search using clauses; relations; and cuts. ,,Logic_programming;Backtracking,Integration_clause;Data_structure;Searching,,
ku13,Functional Organization,AR,0,0,Y,Implementation of simple datapaths;  including instruction pipelining  ;hazard detection and resolution.  Control unit  hardwired realization vs. microprogrammed realization.  Instruction pipelining.  Introduction to instruction-level parallelism (ILP), ,Compare alternative implementation of datapaths. Discuss the concept of control points and the generation of control signals using hardwired or microprogrammed implementations. Explain basic instruction level parallelism using pipelining and the major hazards that may occur.  Design and implement a complete processor  including datapath and control. Determine  for a given processor and memory system implementation  the average cycles per instruction., -,Imlac_PDS-1;Instruction-level_parallelism;Instruction_pipelining,Imlac_PDS-1;Maurice_Wilkes;Instruction-level_parallelism;Post-detection_policy,,
ku130,Algorithms and Design,SDF,11,0,N,The concept and properties of algorithms;   Informal comparison of algorithm efficiency (e.g.; operation counts).   The role of algorithms in the problem-solving process.   Problem-solving strategies.   Iterative and recursive mathematical functions.   Iterative and recursive traversal of data structures.   Divide-and-conquer strategies.   Fundamental design concepts and principles.   Abstraction   Program decomposition.   Encapsulation and information hiding  Separation of behavior and implementation.,,Discuss the importance of algorithms in the problem-solving process.  Discuss how a problem may be solved by multiple algorithms; each with different properties.  Create algorithms for solving simple problems.   Use a programming language to implement; test; and debug algorithms for solving simple problems. Implement; test; and debug simple recursive functions and procedures.   Determine whether a recursive or iterative solution is most appropriate for a problem.  Implement a divide-and-conquer algorithm for solving a problem.  Apply the techniques of decomposition to break a program into smaller pieces.  Identify the data components and behaviors of multiple abstract data types.  Implement a coherent abstract data type; with loose coupling between components and behaviors.  Identify the relative strengths and weaknesses among multiple designs or implementations for a problem.  ,,Software_design;Abstraction_(software_engineering);Separation_of_concerns,Software_design;Abstraction_(software_engineering);Separation_of_concerns;Scott_Walker_(politician);Recursive_function;Problem_solving;Tree_traversal,,
ku131, Fundamental Programming Concepts ,SDF,10,1,N,Basic syntax and semantics of a higher-level language.   Variables and primitive data types (e.g.; numbers; characters; Booleans).   Expressions and assignments.   Simple I/O including file I/O.   Conditional and iterative control structures.   Functions and parameter passing.   The concept of recursion.,,Analyze and explain the behavior of simple programs involving the fundamental programming constructs variables; expressions; assignments; I O; control constructs; functions; parameter passing; and recursion.   Identify and describe uses of primitive data types.  Write programs that use primitive data types.   Modify and expand short programs that use standard conditional and iterative control structures and functions.   Design; implement; test; and debug a program that uses each of the following fundamental programming constructs  basic computation; simple I O; standard conditional and iterative structures; the definition of functions; and parameter passing.   Write a program that uses file I O to provide persistence across multiple executions. Choose appropriate conditional and iteration constructs for a given programming task.  Describe the concept of recursion and give examples of its use. Identify the base case and the general case of a recursively-defined problem.  ,,Primitive_data_type;Iterative_and_incremental_development;Parameter_(computer_programming),Primitive_data_type;Iterative_and_incremental_development;Syntax;Parameter_(computer_programming);High-level_programming_language;Recursion;File,,
ku132, Fundamental Data Structures,SDF,12,2,N,Array.   Records/structs (heterogeneous aggregates).   Strings and string processing.   Abstract data types and their implementation;   Stacks;  Queues;   Priority queues;   Sets   Maps;   References and aliasing.   Linked lists.   Strategies for choosing the appropriate data structure.,,Discuss the appropriate use of built-in data structures.   Describe common applications for each of the following data structures  stack; queue; priority queue; set; and map.   Write programs that use each of the following data structures  arrays; records structs; strings; linked lists; stacks; queues; sets; and maps.   Compare alternative implementations of data structures with respect to performance.  Describe how references allow for objects to be accessed in multiple ways.  Compare and contrast the costs and benefits of dynamic and static data structure implementations. Choose the appropriate data structure for modeling a given problem.  ,,Abstract_data_type;Data_structure;Linked_list,Abstract_data_type;Data_structure;Linked_list;Countable_set;Record_(computer_science);String_(computer_science),,
ku133,Development Methods,SDF,10,3,N,Program comprehension.   Program correctness.   Types of errors (syntax; logic; run-time).    The concept of a specification.   Defensive programming (e.g. secure coding; exception handling).   Code reviews.   Testing fundamentals and test-case generation.   The role and the use of contracts; including pre- and post-conditions.  Unit testing.   Simple refactoring.  Modern programming environments.   Code search.   Programming using library components and their APIs.  Debugging strategies.   Documentation and program style.,,Trace the execution of a variety of code segments and write summaries of their computations.   Explain why the creation of correct program components is important in the production of high-quality software.  Identify common coding errors that lead to insecure programs (e.g.; buffer overflows; memory leaks; malicious code) and apply strategies for avoiding such errors. Conduct a personal code review (focused on common coding errors) on a program component using a provided checklist.   Contribute to a small-team code review focused on component correctness.   Describe how a contract can be used to specify the behavior of a program component.  Refactor a program by identifying opportunities to apply procedural abstraction.   Apply a variety of strategies to the testing and debugging of simple programs.  Construct; execute and debug programs using a modern IDE and associated tools such as unit testing tools and visual debuggers.  Construct and debug programs using the standard libraries available with a chosen programming language.  Analyze the extent to which another programmer's code meets documentation and programming style standards. Apply consistent documentation and program style standards that contribute to the readability and maintainability of software.  ,,Integrated_development_environment;Unit_testing;List_comprehension,Integrated_development_environment;Unit_testing;List_comprehension;The_Fundamentals;Code_review;Code_refactoring;Exception_handling;Algorithmic_program_debugging;Visual_Component_Library;Google_Code_Search,,
ku134,Software Processes,SE,2,1,Y,Systems level considerations; i.e.; the interaction of software with its intended environment (crossreference IAS Secure Software Engineering).   Introduction to software process models (e.g.; waterfall; incremental; agile).   Activities within software lifecycles.   Programming in the large vs. individual programming.,Evaluation of software process models,Describe how software can interact with and participate in various systems including information management; embedded; process control; and communications systems.   Describe the relative advantages and disadvantages among several major process models (e.g.; waterfall; iterative; and agile).   Describe the different practices that are key components of various process models.  Differentiate among the phases of software development.  Describe how programming in the large differs from individual efforts with respect to understanding a large code base; code reading; understanding builds; and understanding context of changes.  ,Explain the concept of a software lifecycle and provide an example; illustrating its phases including the deliverables that are produced.  Compare several common process models with respect to their value for development of particular classes of software systems taking into account issues such as requirement stability; size; and non-functional characteristics. ,Software_development_process;Application_lifecycle_management,High-level_design;Software_development_process;Application_lifecycle_management;Environment;Individual_augmentee,,
ku135,Software Project Management,SE,0,2,Y,Team participation;   Team processes including responsibilities for tasks; meeting structure; and work schedule  Roles and responsibilities in a software team.   Team conflict resolution.   Risks associated with virtual teams (communication; perception; structure)   Effort Estimation (at the personal level).   Risk (cross reference IAS Secure Software Engineering).   The role of risk in the lifecycle.  Risk categories including security; safety; market; financial; technology; people; quality; structure and process.,,Discuss common behaviors that contribute to the effective functioning of a team.  Create and follow an agenda for a team meeting.  Identify and justify necessary roles in a software development team. Understand the sources; hazards; and potential benefits of team conflict.  Apply a conflict resolution strategy in a team setting.  Use an ad hoc method to estimate software development effort (e.g.; time) and compare to actual effort required.  List several examples of software risks.  Describe the impact of risk in a software development lifecycle.  Describe different categories of risk in software systems. ,,Information_security;Team_software_process;Software_development_effort_estimation,Information_security;Schedule;Conflict_resolution;Team_software_process;Widening_participation;Personal_assistant;Virtual_team;Software_development_effort_estimation;Monthly_meeting,,
ku136,Tools and Environments,SE,0,2,N,Software configuration management and version control.   Release management.   Requirements analysis and design modeling tools.   Testing tools including static and dynamic analysis tools.   Programming environments that automate parts of program construction processes (e.g.; automated builds).   Continuous integration.   Tool integration concepts and mechanisms.,,Describe the difference between centralized and distributed software configuration management.  Describe how version control can be used to help manage software release management.   Identify configuration items and use a source code control tool in a small team-based project.  Describe how available static and dynamic test tools can be integrated into the software development environment.   Describe the issues that are important in selecting a set of tools for the development of a particular software system; including tools for requirements tracking; design modeling; implementation; build automation; and testing.  Demonstrate the capability to use software tools in support of the development of a software product of medium size.  ,,Construction_and_Analysis_of_Distributed_Processes;Enterprise_integration;Dynamic_program_analysis,Construction_and_Analysis_of_Distributed_Processes;Model-based_design;Software_configuration_management;Enterprise_integration;Dynamic_program_analysis,,
ku137,Requirements Engineering,SE,1,3,Y,Describing functional requirements using; for example; use cases or users stories.   Properties of requirements including consistency; validity; completeness; and feasibility.,Software requirements elicitation.   Describing system data using; for example; class diagrams or entity-relationship diagrams.  Non-functional requirements and their relationship to software quality (cross-reference IAS Secure Software Engineering).   Evaluation and use of requirements specifications.,List the key components of a use case or similar description of some behavior that is required for a system.  Describe how the requirements engineering process supports the elicitation and validation of behavioral requirements.  Interpret a given requirements model for a simple software system.  ,Describe the fundamental challenges of and common techniques used for requirements elicitation.  List the key components of a data model (e.g.; class diagrams or ER diagrams). Identify both functional and non-functional requirements in a given requirements specification for a software system.  Conduct a review of a set of software requirements to determine the quality of the requirements with respect to the characteristics of good requirements.  ,Information_security;Software_requirements;Functional_requirement,Information_security;Planetary_Data_System;Software_requirements;Functional_requirement;Software_quality;Canadians;Requirements_specification,,
ku138,Software Design,SE,3,5,Y,System design principles  levels of abstraction (architectural design and detailed design); separation of concerns; information hiding; coupling and cohesion; re-use of standard structures.   Design Paradigms such as structured design (top-down functional decomposition); object-oriented analysis and design; event driven design; component-level design; data-structured centered; aspect oriented; function oriented; service oriented.   Structural and behavioral models of software designs.  Design patterns.,Relationships between requirements and designs  transformation of models; design of contracts; invariants.   Software architecture concepts and standard architectures (e.g. client-server; n-layer; transform centered; pipes-and-filters).   Refactoring designs using design patterns.   The use of components in design  component selection; design; adaptation and assembly of components; components and patterns; components and objects (for example; building a GUI using a standard widget set).,Articulate design principles including separation of concerns; information hiding; coupling and cohesion; and encapsulation. Use a design paradigm to design a simple software system; and explain how system design principles have been applied in this design.   Construct models of the design of a simple software system that are appropriate for the paradigm used to design it.  Within the context of a single design paradigm; describe one or more design patterns that could be applicable to the design of a simple software system.  ,For a simple system suitable for a given scenario; discuss and select an appropriate design paradigm. Create appropriate models for the structure and behavior of software products from their requirements specifications.   Explain the relationships between the requirements for a software product and its design; using appropriate models.   For the design of a simple software system within the context of a single design paradigm; describe the software architecture of that system.   Given a high-level design; identify the software architecture by differentiating among common software architectures such as 3-tier; pipe-and-filter; and client-server.  Investigate the impact of software architectures selection on the design of a simple system. Apply simple examples of patterns in a software design. Describe a form of refactoring and discuss when it may be applicable. Select suitable components for use in the design of a software product.  Explain how suitable components might need to be adapted for use in the design of a software product.  Design a contract for a typical small software component for use in a given system. ,Software_architecture;Event-driven_programming;Low-level_design,Visual_design_elements_and_principles;Software_architecture;Software_widget;Event-driven_programming;Natural_selection;Passport_Designs;Industry_Standard_Architecture;Data_structure;Low-level_design;Design_paradigm;Structured_analysis;Software_design_description;Architectural_design_values;Data_center;Aspect-oriented_programming;Service-oriented_modeling,,
ku139,Software Construction,SE,0,2,Y,"  Coding practices  techniques; idioms patterns; mechanisms for building quality programs (cross-reference IAS Defensive Programming  SDF Development Methods).  Defensive coding practices. Secure coding practices.  Using exception handling mechanisms to make programs more robust; fault-tolerant.   Coding standards.   Integration strategies.   Development context  ""green field"" vs. existing code base.  Change impact analysis.  Change actualization.",, Describe techniques; coding idioms and mechanisms for implementing designs to achieve desired properties such as reliability; efficiency; and robustness.  Build robust code using exception handling mechanisms.   Describe secure coding and defensive coding practices.  Select and use a defined coding standard in a small software project. Compare and contrast integration strategies including top-down; bottom-up; and sandwich integration.  Describe the process of analyzing and implementing changes to code base developed for a specific project.  Describe the process of analyzing and implementing changes to a large existing code base.  ,,Defensive_programming;Secure_coding;Software_quality,Defensive_programming;Form-based_code;Code_of_Practices_for_Television_Broadcasters;Secure_coding;Impact_analysis,,
ku14,Multiprocessing and Alternative Architectures,AR,0,0,Y,Power Law.  Example SIMD and MIMD instruction sets and architectures.  Interconnection networks (hypercube;  shuffle-exchange;  mesh;  crossbar).  Shared multiprocessor memory systems and memory consistency. Multiprocessor cache coherence, ,Discuss the concept of parallel processing beyond the classical von Neumann model.  Describe alternative parallel architectures such as SIMD and MIMD. Explain the concept of interconnection networks and characterize different approaches.   Discuss the special concerns that multiprocessing systems present with respect to memory management and describe how these are addressed.  Describe the differences between memory backplane  processor memory interconnect  and remote memory via networks  their implications for access latency and impact on program performance.  , -,Shared_memory;Cache_coherence;Multiprocessing,Shared_memory;Cache_coherence;SIMD;Consistency_model,,
ku140,Software Verification and Validation,SE,0,4,Y,Verification and validation concepts.   Inspections; reviews; audits.   Testing types; including human computer interface; usability; reliability; security; conformance to specification (cross-reference IAS Secure Software Engineering).   Testing fundamentals (cross-reference SDF Development Methods). Unit; integration; validation; and system testing. Test plan creation and test case generation.  Black-box and white-box testing techniques. Regression testing and test automation.   Defect tracking.  Limitations of testing in particular domains; such as parallel or safety-critical systems.,,,,Information_security;Test_data_generation;White-box_testing,Information_security;Declaration_of_18th_SAARC_Summit;Human?“computer_interaction;Creation_science;Test_data_generation;White-box_testing;Test_automation;Regression_testing;The_Fundamentals;System_testing;Defect_tracking,,
ku141,Software Evolution,SE,0,2,Y,Software development in the context of large; pre-existing code bases.   Software change.   Concerns and concern location.   Refactoring.   Software evolution.   Characteristics of maintainable software.   Reengineering systems.   Software reuse. Code segments. Libraries and frameworks. Components. Product lines.,,Identify the principal issues associated with software evolution and explain their impact on the software lifecycle.  Estimate the impact of a change request to an existing product of medium size.  Use refactoring in the process of modifying a software component.   Discuss the challenges of evolving systems in a changing environment.  Outline the process of regression testing and its role in release management.  Discuss the advantages and disadvantages of different types of software reuse.  ,,Copy_and_paste_programming;Code_segment;Software_maintainer,Copy_and_paste_programming;Code_segment;Software_maintainer;Business_process_reengineering;Software_development;Product_(business),,
ku142,Software Reliability,SE,0,1,Y,Software reliability engineering concepts.   Software reliability; system reliability and failure behavior (cross-reference SF Reliability Through Redundancy).   Fault lifecycle concepts and techniques.,,Explain the problems that exist in achieving very high levels of reliability.  Describe how software reliability contributes to system reliability. List approaches to minimizing faults that can be applied at each stage of the software lifecycle.  ,,Reliability_engineering;Software_quality;Data_redundancy,Reliability_engineering;Integrity_(disambiguation);Positive_and_Negative_Affect_Schedule,,
ku143,Formal Methods,SE,0,0,Y,Role of formal specification and analysis techniques in the software development cycle.  Program assertion languages and analysis approaches (including languages for writing and analyzing preand post-conditions; such as OCL; JML).   Formal approaches to software modeling and analysis.   Model checkers.   Model finders.   Tools in support of formal methods.,,Describe the role formal specification and analysis techniques can play in the development of complex software and compare their use as validation and verification techniques with testing.  Apply formal specification and analysis techniques to software designs and programs with low complexity. Explain the potential benefits and drawbacks of using formal specification languages.   Create and evaluate program assertions for a variety of behaviors ranging from simple through complex.   Using a common formal specification language; formulate the specification of a simple software system and derive examples of test cases from the specification. ,,Software_development_process;Assertion_(software_development);SPIN_model_checker,;Software_development_process;Assertion_(software_development);Comparison_of_software_for_molecular_mechanics_modeling;SPIN_model_checker;Formal_Approaches_to_Slavic_Linguistics;Product_finder,,
ku144,Computational Paradigms,SF,3,0,N,Basic building blocks and components of a computer (gates; flip-flops; registers; interconnections;  Datapath; Control; Memory).   Hardware as a computational paradigm  Fundamental logic building blocks  Logic expressions; minimization; sum of product forms.   Application-level sequential processing  single thread.   Simple application-level parallel processing  request level (web services client-server distributed); single thread per server; multiple threads with multiple servers.   Basic concept of pipelining; overlapped processing stages.   Basic concept of scaling  going faster vs. handling larger problems.,,List commonly encountered patterns of how computations are organized.  Describe the basic building blocks of computers and their role in the historical development of computer architecture.  Articulate the differences between single thread vs. multiple thread; single server vs. multiple server models; motivated by real world examples (e.g.; cooking recipes; lines for multiple teller machines and couples shopping for food).  Articulate the concept of strong vs. weak scaling; i.e.; how performance is affected by scale of problem vs. scale of resources to solve the problem. This can be motivated by the simple; real-world examples.  Design a simple logic circuit using the fundamental building blocks of logic design. Use tools for capture; synthesis; and simulation to evaluate a logic design.   Write a simple sequential problem and a simple parallel version of the same program.  Evaluate performance of simple sequential and parallel versions of a program with different problem sizes; and be able to describe the speed-ups achieved.  ,,Knowledge_representation_and_reasoning;Parallel_Virtual_File_System;Client?“server_model,Outline_of_science;Parallel_Virtual_File_System;Thread_(computing);Client?“server_model;Threading_Building_Blocks;Rostow's_stages_of_growth;Automobile_handling;Basic_Concepts_in_Sociology;Product-form_solution,,
ku145,Cross-Layer Communications,SF,3,0,N,Programming abstractions; interfaces; use of libraries.   Distinction between Application and OS services; Remote Procedure Call.  Application-Virtual Machine Interaction.  Reliability.,,Describe how computing systems are constructed of layers upon layers; based on separation of concerns; with well-defined interfaces; hiding details of low layers from the higher layers. Describe how hardware; VM; OS; and applications are additional layers of interpretation processing. Describe the mechanisms of how errors are detected; signaled back; and handled through the layers. Construct a simple program using methods of layering; error detection and recovery; and reflection of error status across layers.  Find bugs in a layered program by using tools for program tracing; single stepping; and debugging.  ,,Remote_procedure_call;Abstraction_(software_engineering),Remote_procedure_call;Virtual_machine_lifecycle_management;MacOS_Server,,
ku146,State and State Machines,SF,6,0,N,Digital vs. Analog Discrete vs. Continuous Systems.   Simple logic gates; logical expressions; Boolean logic simplification.  Clocks; State; Sequencing.   Combinational Logic; Sequential Logic; Registers; Memories.   Computers and Network Protocols as examples of state machines.,,Describe computations as a system characyterized by a known set of configurations with transitions from one unique configuration (state) to another (state).   Describe the distinction between systems whose output is only a function of their input (Combinational) and those with memory history (Sequential).   Describe a computer as a state machine that interprets machine instructions.   Explain how a program or network protocol can also be expressed as a state machine; and that alternative representations for the same computation can exist.  Develop state machine descriptions for simple problem statement solutions (e.g.; traffic light sequencing; pattern recognizers).  Derive time-series behavior of a state machine from its state machine representation.  ,,Circuit_minimization_for_Boolean_functions;Combinational_logic;Sequential_logic,Logic_gate;Circuit_minimization_for_Boolean_functions;Combinational_logic;Sequential_logic;Continuous_ink_system;Logical_equality,,
ku147,Parallelism,SF,3,0,N,Sequential vs. parallel processing;   Parallel programming vs. concurrent programming.   Request parallelism vs. Task parallelism.  Client-Server Web Services; Thread (Fork-Join); Pipelining.   Multicore architectures and hardware support for synchronization.,,For a given program; distinguish between its sequential and parallel execution; and the performance implications thereof.  Demonstrate on an execution time line that parallelism events and operations can take place simultaneously (i.e.; at the same time). Explain how work can be performed in less elapsed time if this can be exploited.   Explain other uses of parallelism; such as for reliability redundancy of execution. Define the differences between the concepts of Instruction Parallelism; Data Parallelism; Thread Parallelism Multitasking; Task Request Parallelism.  Write more than one parallel program (e.g.; one simple parallel program in more than one parallel programming paradigm  a simple parallel program that manages shared resources through synchronization primitives  a simple parallel program that performs simultaneous operation on partitioned data through task parallel (e.g.; parallel search terms  a simple parallel program that performs step-by-step pipeline processing through message passing).  Use performance tools to measure speed-up achieved by parallel programs in terms of both problem size and number of resources.  ,,Client?“server_model;Concurrent_computing;Pipeline_(computing),Client?“server_model;Parallel_processing;Hardware;Task_parallelism;Second_request,,
ku148,Evaluation,SF,3,0,N,Performance figures of merit.   Workloads and representative benchmarks; and methods of collecting and analyzing performance figures of merit.   CPI (Cycles per Instruction) equation as tool for understanding tradeoffs in the design of instruction sets; processor pipelines; and memory system organizations.   Amdahl's Law;  the part of the computation that cannot be sped up limits the effect of the parts that can.,,Explain how the components of system architecture contribute to improving its performance.  Describe Amdahl's law and discuss its limitations.   Design and conduct a performance-oriented experiment.  Use software tools to profile and measure program performance.  ,,Standard_Performance_Evaluation_Corporation;Software_performance_testing;Instruction_pipelining,Organizational_memory;Performance_measurement;Hidden_Figures;Instruction_pipelining;Bias?“variance_tradeoff;LINPACK_benchmarks;Instruction_set;Instruction;Computation,,
ku149,Resource Allocation and Scheduling,SF,0,2,N,Kinds of resources (e.g.; processor share; memory; disk; net bandwidth).   Kinds of scheduling (e.g.; first-come; priority).   Advantages of fair scheduling; preemptive scheduling.,,Define how finite computer resources (e.g.; processor share; memory; storage and network bandwidth) are managed by their careful allocation to existing entities. Describe the scheduling algorithms by which resources are allocated to competing entities; and the figures of merit by which these algorithms are evaluated; such as fairness. Implement simple schedule algorithms.  Use figures of merit of alternative scheduler implementations.  ,,Scheduling_(computing);Completely_Fair_Scheduler;Memory,Processor_sharing;Bandwidth_(computing);Scheduling_(computing);Completely_Fair_Scheduler,,
ku15,Performance Enhancements,AR,0,0,Y,Superscalar architecture. Branch prediction ; Speculative execution;  Out-of-order execution. Prefetching.  Vector processors and GPUs.  Hardware support for multithreading. Scalability.  Alternative architectures  such as VLIW EPIC;  and Accelerators and other kinds of Special-Purpose Processors, ,Describe superscalar architectures and their advantages. Explain the concept of branch prediction and its utility.  Characterize the costs and benefits of prefetching.  Explain speculative execution and identify the conditions that justify it.  Discuss the performance advantages that multithreading offered in an architecture along with the factors that make it difficult to derive maximum benefits from this approach. Describe the relevance of scalability to performance., -,Vector_processor;Superscalar_processor;Branch_predictor,Vector_processor;Superscalar_processor;Hardware;University_of_Development_Alternative;Canadians;Branch_predictor,,
ku150,Proximity,SF,0,3,N,Speed of light and computers (one foot per nanosecond vs. one GHz clocks).   Latencies in computer systems  memory vs. disk latencies vs. across the network memory.   Caches and the effects of spatial and temporal locality on performance in processors and systems.   Caches and cache coherency in databases; operating systems; distributed systems; and computer architecture.   Introduction into the processor memory hierarchy and the formula for average memory access time.,,Explain the importance of locality in determining performance.  Describe why things that are close in space take less time to access. Calculate average memory access time and describe the tradeoffs in memory hierarchy performance in terms of capacity; miss hit rate; and access time.,,Average_memory_access_time;Memory_hierarchy;Computer_memory,Average_memory_access_time;Memory_hierarchy;Computer_memory;Autoassociative_memory;Computer_architecture;Cache_coherence;Distributed_computing;Locality_of_reference;Clock_rate,,
ku151,Virtualization and Isolation,SF,0,2,N,Rationale for protection and predictable performance.   Levels of indirection; illustrated by virtual memory for managing physical memory resources.   Methods for implementing virtual memory and virtual machines.,,Explain why it is important to isolate and protect the execution of individual programs and environments that share common underlying resources.  Describe how the concept of indirection can create the illusion of a dedicated machine and its resources even when physically shared among multiple programs and environments.  Measure the performance of two application instances running on separate virtual machines; and determine the effect of performance isolation.  ,,Memory_virtualization;Virtual_memory;Virtual_machine,Memory_virtualization;Virtual_memory;Virtual_machine,,
ku152,Reliability through Redundancy,SF,0,2,N,Distinction between bugs and faults.   Redundancy through check and retry. Redundancy through redundant encoding (error correcting codes; CRC; FEC). Duplication mirroring replicas.  Other approaches to fault tolerance and availability.,,Explain the distinction between program errors; system errors; and hardware faults (e.g.; bad memory) and exceptions (e.g.; attempt to divide by zero).   Articulate the distinction between detecting; handling; and recovering from faults; and the methods for their implementation.   Describe the role of error correcting codes in providing error checking and correction techniques in memories; storage; and networks.  Apply simple algorithms for exploiting redundant information for the purposes of data correction. Compare different error detection and correction methods for their data overhead; implementation complexity; and relative execution time for encoding; detecting; and correcting errors.  ,,Forward_error_correction;Peer_to_Peer_Remote_Copy;Fault_tolerance,Forward_error_correction;Peer_to_Peer_Remote_Copy;Fault_tolerance;State_encoding_for_low_power;Fault,,
ku153,Quantitative Evaluation,SF,0,2,Y,Analytical tools to guide quantitative evaluation.   Order of magnitude analysis (Big-Oh notation).   Analysis of slow and fast paths of a system.   Events on their effect on performance (e.g.; instruction stalls; cache misses; page faults).   Understanding layered systems; workloads; and platforms; their implications for performance; and the challenges they represent for evaluation.   Microbenchmarking pitfalls.,,Explain the circumstances in which a given figure of system performance metric is useful.  Explain the inadequacies of benchmarks as a measure of system performance.  Use limit studies or simple calculations to produce order-of-magnitude estimates for a given performance metric in a given context.  Conduct a performance experiment on a layered system to determine the effect of a system parameter on figure of system performance.  ,,Fast_path;Cache_(computing);Instruction_pipelining;Page_fault,Layered_hidden_Markov_model;Quantitative_psychology;Fast_path;Cache_(computing);Analytical_chemistry;Instruction_pipelining;Page_fault;,,
ku154,Social Context,SP,1,2,N,Social implications of computing in a networked world (cross-reference HCI Foundations social models  IAS Fundamental Concepts social issues).   Impact of social media on individualism; collectivism and culture.,Growth and control of the Internet (cross-reference NC Introduction organization of the Internet).   Often referred to as the digital divide; differences in access to digital technology resources and its resulting ramifications for gender; class; ethnicity; geography; and or underdeveloped countries.   Accessibility issues; including legal requirements.  Context-aware computing (cross-reference HCI Design for non-mouse interfaces  ubiquitous and contextaware).,Describe positive and negative ways in which computer technology (networks; mobile computing; cloud computing) alters modes of social interaction at the personal level.   Identify developers' assumptions and values embedded in hardware and software design; especially as they pertain to usability for diverse populations including under-represented populations and the disabled.   Interpret the social context of a given design and its implementation.   Evaluate the efficacy of a given design and implementation using empirical data.  Summarize the implications of social media on individualism versus collectivism and culture.  ,Discuss how Internet access serves as a liberating force for people living under oppressive forms of government  explain how limits on Internet access are used as tools of political and social repression.   Analyze the pros and cons of reliance on computing in the implementation of democracy (e.g. delivery of social services; electronic voting).   Describe the impact of the under-representation of diverse populations in the computing profession (e.g.; industry culture; product diversity).   Explain the implications of context awareness in ubiquitous computing systems.  ,Digital_divide;Context_awareness;Computing,;Infotainment;Participatory_design;Canadians;Music_technology_(electronic_and_digital);IEEE_Society_on_Social_Implications_of_Technology;Accessibility;Social_media;Digital_divide;Developing_country,,
ku155,Analytical Tools,SP,2,0,N,Ethical argumentation.   Ethical theories and decision-making.   Moral assumptions and values.,,Evaluate stakeholder positions in a given situation.  Analyze basic logical fallacies in an argument.  Analyze an argument to identify premises and conclusion.  Illustrate the use of example and analogy in ethical argument.  Evaluate ethical social tradeoffs in technical decisions.  ,,Decision-making,Lawrence_Kohlberg's_stages_of_moral_development;Ethical_naturalism,,
ku156,Professional Ethics,SP,2,2,N,Community values and the laws by which we live.   The nature of professionalism including care; attention and discipline; fiduciary responsibility; and mentoring.   Keeping up-to-date as a computing professional in terms of familiarity; tools; skills; legal and professional framework as well as the ability to self-assess and progress in the computing field.   Professional certification; codes of ethics; conduct; and practice; such as the ACM IEEE-CS; SE; AITP; IFIP and international societies (cross-reference IAS Fundamental Concepts ethical issues).   Accountability; responsibility and liability (e.g. software correctness; reliability and safety; as well as ethical confidentiality of cybersecurity professionals).,The role of the computing professional in public policy.   Maintaining awareness of consequences.   Ethical dissent and whistle-blowing.   The relationship between regional culture and ethical dilemmas.   Dealing with harassment and discrimination.   Forms of professional credentialing.   Acceptable use policies for computing in the workplace   Ergonomics and healthy computing environments.   Time to market and cost considerations versus quality professional standards.,"Identify ethical issues that arise in software development and determine how to address them technically and ethically.  Explain the ethical responsibility of ensuring software correctness; reliability and safety.   Describe the mechanisms that typically exist for a professional to keep up-to-date.  Describe the strengths and weaknesses of relevant professional codes as expressions of professionalism and guides to decision-making.  Analyze a global computing issue; observing the role of professionals and government officials in managing this problem. [Assessment]  Evaluate the professional codes of ethics from the ACM; the IEEE Computer Society; and other
organizations.  ",Describe ways in which professionals may contribute to public policy.  Describe the consequences of inappropriate professional behavior.  Identify progressive stages in a whistle-blowing incident.  Identify examples of how regional culture interplays with ethical dilemmas.  Investigate forms of harassment and discrimination and avenues of assistance.   Examine various forms of professional credentialing.  Explain the relationship between ergonomics in computing environments and people's health.  Develop a computer usage acceptable use policy with enforcement measures.   Describe issues associated with industries' push to focus on time to market versus enforcing quality professional standards.  ,Professional_ethics;Computer_ethics,Business_ethics;Software_quality;Smart_environment;Code_Gray:_Ethical_Dilemmas_in_Nursing;Confidentiality;Ethical_decision;Institute_for_Certification_of_Computing_Professionals;Credentialing;Spring_Framework;Professional_certification;IEEE_Computer_Society;Cyber_Intelligence_Sharing_and_Protection_Act;Software_verification_and_validation;Regional_Arts_&_Culture_Council;Asset_of_community_value;Awareness;Public_policy;International_Union_of_Microbiological_Societies;Computing;Participatory_ergonomics;Fiduciary,,
